locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBHKAFJI_00032	CDS	651	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
MBHKAFJI_00033	CDS	1833				hypothetical protein
MBHKAFJI_00034	CDS	600	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
MBHKAFJI_00035	CDS	1218	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
MBHKAFJI_00036	CDS	939	hdfR_1			HTH-type transcriptional regulator HdfR
MBHKAFJI_00037	CDS	165				hypothetical protein
MBHKAFJI_00038	CDS	444	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
MBHKAFJI_00039	CDS	663	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
MBHKAFJI_00040	CDS	1803	nuoC	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D
MBHKAFJI_00041	CDS	501	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
MBHKAFJI_00042	CDS	1338	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
MBHKAFJI_00043	CDS	2727	nuoG	7.1.1.-	COG1034	NADH-quinone oxidoreductase subunit G
MBHKAFJI_00044	CDS	978	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
MBHKAFJI_00045	CDS	543	nuoI_1	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
MBHKAFJI_00046	CDS	555	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
MBHKAFJI_00047	CDS	303	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
MBHKAFJI_00048	CDS	1842	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
MBHKAFJI_00049	CDS	1530	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
MBHKAFJI_00050	CDS	1458	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
MBHKAFJI_00051	CDS	504	yfbM			Protein YfbM
MBHKAFJI_00052	CDS	372	elaD_1	3.4.22.-		Protease ElaD
MBHKAFJI_00053	CDS	744	elaD_2	3.4.22.-		Protease ElaD
MBHKAFJI_00054	CDS	918	rbn	3.1.-.-	COG1234	Ribonuclease BN
MBHKAFJI_00055	CDS	462	elaA		COG2153	Protein ElaA
MBHKAFJI_00056	CDS	306	elaB		COG4575	Protein ElaB
MBHKAFJI_00057	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
MBHKAFJI_00058	CDS	1671	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
MBHKAFJI_00059	CDS	759	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
MBHKAFJI_00060	CDS	858	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
MBHKAFJI_00061	CDS	963	menC	4.2.1.113	COG1441	o-succinylbenzoate synthase
MBHKAFJI_00062	CDS	1356	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
MBHKAFJI_00063	CDS	267	pmrD			Signal transduction protein PmrD
MBHKAFJI_00064	CDS	387	arnF		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
MBHKAFJI_00065	CDS	336	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
MBHKAFJI_00066	CDS	1653	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
MBHKAFJI_00067	CDS	891	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
MBHKAFJI_00068	CDS	1983	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
MBHKAFJI_00069	CDS	969	arnC_1	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
MBHKAFJI_00070	CDS	1158	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
MBHKAFJI_00071	CDS	603	ais	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase
MBHKAFJI_00072	CDS	426	nudI	3.6.1.9	COG0494	Nucleoside triphosphatase NudI
MBHKAFJI_00073	CDS	543				hypothetical protein
MBHKAFJI_00074	CDS	1203	pncC_1	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
MBHKAFJI_00075	CDS	390	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
MBHKAFJI_00076	CDS	903				ISNCY family transposase ISSen7
MBHKAFJI_00077	CDS	1191	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
MBHKAFJI_00078	CDS	1260	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
MBHKAFJI_00079	CDS	1629	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
MBHKAFJI_00080	CDS	1359	glpT		COG2271	Glycerol-3-phosphate transporter
MBHKAFJI_00081	CDS	1077	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
MBHKAFJI_00082	CDS	207				hypothetical protein
MBHKAFJI_00083	CDS	651	inaA			Protein InaA
MBHKAFJI_00084	CDS	255		1.14.13.239		Carnitine monooxygenase reductase subunit
MBHKAFJI_00085	CDS	1131	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 1 subunit beta
MBHKAFJI_00086	CDS	2286	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
MBHKAFJI_00087	CDS	3741	yfaL		COG3468	putative autotransporter YfaL
MBHKAFJI_00088	CDS	723	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
MBHKAFJI_00089	CDS	2628	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
MBHKAFJI_00090	CDS	1689				hypothetical protein
MBHKAFJI_00091	CDS	624				hypothetical protein
MBHKAFJI_00092	CDS	4395				hypothetical protein
MBHKAFJI_00093	CDS	1650				hypothetical protein
MBHKAFJI_00094	CDS	777				hypothetical protein
MBHKAFJI_00095	CDS	2850	rcsC	2.7.13.3		Sensor histidine kinase RcsC
MBHKAFJI_00096	CDS	651	rcsB		COG2197	Transcriptional regulatory protein RcsB
MBHKAFJI_00097	CDS	2673	rcsD	2.7.2.-	COG2198	Phosphotransferase RcsD
MBHKAFJI_00098	CDS	1104	ompC		COG3203	Outer membrane protein C
MBHKAFJI_00099	CDS	1056	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
MBHKAFJI_00100	CDS	1065	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
MBHKAFJI_00101	CDS	651	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
MBHKAFJI_00102	CDS	201	yojI_1		COG4615	ABC transporter ATP-binding/permease protein YojI
MBHKAFJI_00103	CDS	1422	yojI_2		COG4615	ABC transporter ATP-binding/permease protein YojI
MBHKAFJI_00104	CDS	1647	mqo	1.1.5.4	COG0579	Malate:quinone oxidoreductase
MBHKAFJI_00105	CDS	489	eco		COG4574	Ecotin
MBHKAFJI_00106	CDS	165				hypothetical protein
MBHKAFJI_00107	CDS	495	napF		COG1145	Ferredoxin-type protein NapF
MBHKAFJI_00108	CDS	264	napD		COG3062	Chaperone NapD
MBHKAFJI_00109	CDS	2487	napA	1.9.6.1	COG0243	Periplasmic nitrate reductase
MBHKAFJI_00110	CDS	696	napG		COG1145	Ferredoxin-type protein NapG
MBHKAFJI_00111	CDS	864	napH		COG0348	Ferredoxin-type protein NapH
MBHKAFJI_00112	CDS	450	napB		COG3043	Periplasmic nitrate reductase, electron transfer subunit
MBHKAFJI_00113	CDS	603	napC		COG3005	Cytochrome c-type protein NapC
MBHKAFJI_00114	CDS	618	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
MBHKAFJI_00115	CDS	663	ccmB		COG2386	Heme exporter protein B
MBHKAFJI_00116	CDS	738	ccmC		COG0755	Heme exporter protein C
MBHKAFJI_00117	CDS	210	ccmD		COG3114	Heme exporter protein D
MBHKAFJI_00118	CDS	480	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
MBHKAFJI_00119	CDS	1944	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
MBHKAFJI_00120	CDS	558	dsbE		COG0526	Thiol:disulfide interchange protein DsbE
MBHKAFJI_00121	CDS	1053	ccmH_1		COG3088	Cytochrome c-type biogenesis protein CcmH
MBHKAFJI_00122	CDS	648	narL_1		COG2197	Nitrate/nitrite response regulator protein NarL
MBHKAFJI_00123	CDS	2316				putative autotransporter
MBHKAFJI_00124	tRNA	77				tRNA-Pro(ggg)
MBHKAFJI_00125	CDS	1761	yejM		COG3083	Inner membrane protein YejM
MBHKAFJI_00126	CDS	228				hypothetical protein
MBHKAFJI_00127	CDS	1008	yejK_1		COG3081	Nucleoid-associated protein YejK
MBHKAFJI_00128	CDS	285	rplY		COG1825	50S ribosomal protein L25
MBHKAFJI_00129	CDS	1761	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
MBHKAFJI_00130	CDS	696	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
MBHKAFJI_00131	CDS	1191	bcr			Bicyclomycin resistance protein
MBHKAFJI_00132	CDS	345	yejG			putative protein YejG
MBHKAFJI_00133	CDS	1590	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
MBHKAFJI_00134	CDS	1026	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
MBHKAFJI_00135	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
MBHKAFJI_00136	CDS	1815				hypothetical protein
MBHKAFJI_00137	CDS	1557	pdeN	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
MBHKAFJI_00138	CDS	567	mepS_1	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
MBHKAFJI_00139	CDS	714	lpxT	2.7.4.29	COG0671	Lipid A 1-diphosphate synthase
MBHKAFJI_00140	CDS	987	yeiR	3.6.-.-	COG0523	Zinc-binding GTPase YeiR
MBHKAFJI_00141	CDS	798	uxaB_1	1.1.1.58		Altronate oxidoreductase
MBHKAFJI_00142	CDS	648	mtlK_1	1.1.1.67	COG0246	Mannitol 2-dehydrogenase
MBHKAFJI_00143	CDS	573	yeiP		COG0231	Elongation factor P-like protein
MBHKAFJI_00144	CDS	255				hypothetical protein
MBHKAFJI_00145	CDS	1179	setB			Sugar efflux transporter B
MBHKAFJI_00146	CDS	1131	fruB		COG1925	Multiphosphoryl transfer protein
MBHKAFJI_00147	CDS	939	lacC	2.7.1.144		Tagatose-6-phosphate kinase
MBHKAFJI_00148	CDS	1692	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
MBHKAFJI_00149	CDS	942	psuK_1	2.7.1.83	COG0524	Pseudouridine kinase
MBHKAFJI_00150	CDS	939	psuG	4.2.1.70	COG2313	Pseudouridine-5'-phosphate glycosidase
MBHKAFJI_00151	CDS	1251	psuT		COG1972	Putative pseudouridine transporter
MBHKAFJI_00152	CDS	699	yeiL		COG0664	Regulatory protein YeiL
MBHKAFJI_00153	CDS	942	rihB	3.2.2.8	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihB
MBHKAFJI_00154	CDS	1251	nupX		COG1972	Putative nucleoside permease NupX
MBHKAFJI_00155	CDS	1089	psuK_2	2.7.1.83	COG0524	Pseudouridine kinase
MBHKAFJI_00156	CDS	858	nfo	3.1.21.2	COG0648	Endonuclease 4
MBHKAFJI_00157	CDS	1050				hypothetical protein
MBHKAFJI_00158	CDS	882	cysL		COG0583	HTH-type transcriptional regulator CysL
MBHKAFJI_00159	CDS	1470	lysP		COG0833	Lysine-specific permease
MBHKAFJI_00160	CDS	1992	cirA_1		COG4771	Colicin I receptor
MBHKAFJI_00161	CDS	837	yeiG	3.1.2.12	COG0627	S-formylglutathione hydrolase YeiG
MBHKAFJI_00162	CDS	669	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
MBHKAFJI_00163	CDS	1158				hypothetical protein
MBHKAFJI_00164	CDS	1041	galS		COG1609	HTH-type transcriptional regulator GalS
MBHKAFJI_00165	CDS	999	mglB		COG1879	D-galactose-binding periplasmic protein
MBHKAFJI_00166	CDS	1521	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
MBHKAFJI_00167	CDS	1011	mglC		COG4211	Galactoside transport system permease protein MglC
MBHKAFJI_00168	CDS	1236	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
MBHKAFJI_00169	CDS	1239	preT	1.3.1.1	COG0493	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT
MBHKAFJI_00170	CDS	240				hypothetical protein
MBHKAFJI_00171	CDS	720				hypothetical protein
MBHKAFJI_00172	CDS	885	cdd	3.5.4.5	COG0295	Cytidine deaminase
MBHKAFJI_00173	CDS	696	yohK		COG1346	Inner membrane protein YohK
MBHKAFJI_00174	CDS	399				hypothetical protein
MBHKAFJI_00175	CDS	951	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
MBHKAFJI_00176	CDS	1437	ttgI			Toluene efflux pump outer membrane protein TtgI
MBHKAFJI_00177	CDS	762	yohF	1.-.-.-	COG1028	putative oxidoreductase YohF
MBHKAFJI_00178	CDS	579	yohD		COG0586	Inner membrane protein YohD
MBHKAFJI_00179	CDS	588	yohC			Inner membrane protein YohC
MBHKAFJI_00180	CDS	933	pbpG	3.4.21.-	COG1686	D-alanyl-D-alanine endopeptidase
MBHKAFJI_00181	CDS	1716	dld	1.1.5.12	COG0277	Quinone-dependent D-lactate dehydrogenase
MBHKAFJI_00182	CDS	2268		3.2.1.-		Beta-xylosidase
MBHKAFJI_00183	CDS	918	yehZ		COG1732	Glycine betaine-binding protein YehZ
MBHKAFJI_00184	CDS	1158	yehY		COG1174	Glycine betaine uptake system permease protein YehY
MBHKAFJI_00185	CDS	927	yehX	3.6.3.-	COG1125	Glycine betaine uptake system ATP-binding protein YehX
MBHKAFJI_00186	CDS	732	yehW		COG1174	Glycine betaine uptake system permease protein YehW
MBHKAFJI_00187	CDS	108				hypothetical protein
MBHKAFJI_00188	CDS	732	mlrA		COG0789	HTH-type transcriptional regulator MlrA
MBHKAFJI_00189	CDS	1686	btsS	2.7.13.3	COG3275	Sensor histidine kinase BtsS
MBHKAFJI_00190	CDS	720	btsR		COG3279	Transcriptional regulatory protein BtsR
MBHKAFJI_00191	CDS	471				hypothetical protein
MBHKAFJI_00192	CDS	147	yehR_1		COG4808	putative lipoprotein YehR
MBHKAFJI_00193	CDS	282	yehR_2		COG4808	putative lipoprotein YehR
MBHKAFJI_00194	CDS	2001				hypothetical protein
MBHKAFJI_00195	CDS	1137				hypothetical protein
MBHKAFJI_00196	CDS	1902				hypothetical protein
MBHKAFJI_00197	CDS	165				hypothetical protein
MBHKAFJI_00198	CDS	1089	yehL		COG0714	putative protein YehL
MBHKAFJI_00199	CDS	90				hypothetical protein
MBHKAFJI_00200	CDS	321				hypothetical protein
MBHKAFJI_00201	CDS	3633				hypothetical protein
MBHKAFJI_00202	CDS	3795				hypothetical protein
MBHKAFJI_00203	CDS	2034	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
MBHKAFJI_00204	CDS	1110	apbC		COG0489	Iron-sulfur cluster carrier protein
MBHKAFJI_00205	CDS	282				hypothetical protein
MBHKAFJI_00206	CDS	543	yehD			putative fimbrial-like protein YehD
MBHKAFJI_00207	CDS	675	yehC		COG3121	putative fimbrial chaperone YehC
MBHKAFJI_00208	CDS	2481	yehB_1		COG3188	Outer membrane usher protein YehB
MBHKAFJI_00209	CDS	1035	yehA			putative fimbrial-like protein YehA
MBHKAFJI_00210	CDS	339	rcnB		COG5455	Nickel/cobalt homeostasis protein RcnB
MBHKAFJI_00211	CDS	825	rcnA		COG2215	Nickel/cobalt efflux system RcnA
MBHKAFJI_00212	CDS	273	rcnR		COG1937	Transcriptional repressor RcnR
MBHKAFJI_00213	CDS	789	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
MBHKAFJI_00214	CDS	801	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
MBHKAFJI_00215	CDS	819				hypothetical protein
MBHKAFJI_00216	CDS	747	nagR		COG2188	HTH-type transcriptional repressor NagR
MBHKAFJI_00217	CDS	966	kdgK_1	2.7.1.45		2-dehydro-3-deoxygluconokinase
MBHKAFJI_00218	CDS	1005	tri1	3.2.2.19	COG1397	ADP-ribosylarginine hydrolase Tri1
MBHKAFJI_00219	CDS	1278	yegT			Putative nucleoside transporter YegT
MBHKAFJI_00220	CDS	1053	fbaB	4.1.2.13	COG1830	Fructose-bisphosphate aldolase class 1
MBHKAFJI_00221	CDS	843	gatY	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit GatY
MBHKAFJI_00222	CDS	1263	gatZ		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit GatZ
MBHKAFJI_00223	CDS	453	gatA		COG1762	PTS system galactitol-specific EIIA component
MBHKAFJI_00224	CDS	285	gatB_1	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
MBHKAFJI_00225	CDS	1356	gatC_1		COG3775	PTS system galactitol-specific EIIC component
MBHKAFJI_00226	CDS	102	gatD_1	1.1.1.251	COG1063	Galactitol 1-phosphate 5-dehydrogenase
MBHKAFJI_00227	CDS	384	gatD_2	1.1.1.251	COG1063	Galactitol 1-phosphate 5-dehydrogenase
MBHKAFJI_00228	CDS	267	gatD_3	1.1.1.251	COG1063	Galactitol 1-phosphate 5-dehydrogenase
MBHKAFJI_00229	CDS	780	srlR_1		COG1349	Glucitol operon repressor
MBHKAFJI_00230	CDS	900	yegS	2.7.1.-	COG1597	Lipid kinase YegS
MBHKAFJI_00231	CDS	378				hypothetical protein
MBHKAFJI_00232	CDS	1362	rlhA_1		COG0826	23S rRNA 5-hydroxycytidine synthase
MBHKAFJI_00233	CDS	297	parE1		COG3668	Toxin ParE1
MBHKAFJI_00234	CDS	252	parD1		COG3609	Antitoxin ParD1
MBHKAFJI_00235	CDS	333				hypothetical protein
MBHKAFJI_00236	CDS	723	baeR		COG0745	Transcriptional regulatory protein BaeR
MBHKAFJI_00237	CDS	1404	baeS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase BaeS
MBHKAFJI_00238	CDS	1416	mdtD			Putative multidrug resistance protein MdtD
MBHKAFJI_00239	CDS	3078	mdtC			Multidrug resistance protein MdtC
MBHKAFJI_00240	CDS	3123	mdtB			Multidrug resistance protein MdtB
MBHKAFJI_00241	CDS	1248	mdtA			Multidrug resistance protein MdtA
MBHKAFJI_00242	CDS	660				hypothetical protein
MBHKAFJI_00243	CDS	681	pphC	3.1.3.16		Serine/threonine-protein phosphatase 3
MBHKAFJI_00244	CDS	1920	yegI	2.7.-.-	COG4248	Protein kinase YegI
MBHKAFJI_00245	CDS	1353	dnaK_1		COG0443	Chaperone protein DnaK
MBHKAFJI_00246	CDS	858	alkA	3.2.2.21	COG0122	DNA-3-methyladenine glycosylase 2
MBHKAFJI_00247	CDS	3318	dgcE	2.7.7.65	COG2202	putative diguanylate cyclase DgcE
MBHKAFJI_00248	CDS	642	udk	2.7.1.48	COG0572	Uridine kinase
MBHKAFJI_00249	CDS	582	dcd	3.5.4.13	COG0717	dCTP deaminase
MBHKAFJI_00250	CDS	1854				hypothetical protein
MBHKAFJI_00251	CDS	1584				hypothetical protein
MBHKAFJI_00252	CDS	1140				hypothetical protein
MBHKAFJI_00253	CDS	444	wzb	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase Wzb
MBHKAFJI_00254	CDS	2163	wzc	2.7.10.-	COG0489	Tyrosine-protein kinase wzc
MBHKAFJI_00255	CDS	840				hypothetical protein
MBHKAFJI_00256	CDS	489	cysE_1	2.3.1.30	COG1045	Serine acetyltransferase
MBHKAFJI_00257	CDS	1218				hypothetical protein
MBHKAFJI_00258	CDS	1218				hypothetical protein
MBHKAFJI_00259	CDS	747				hypothetical protein
MBHKAFJI_00260	CDS	549	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
MBHKAFJI_00261	CDS	1122	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
MBHKAFJI_00262	CDS	966	fcl	1.1.1.271	COG0451	GDP-L-fucose synthase
MBHKAFJI_00263	CDS	483	gmm	3.6.1.-	COG0494	GDP-mannose mannosyl hydrolase
MBHKAFJI_00264	CDS	1224				hypothetical protein
MBHKAFJI_00265	CDS	1437	manC1	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase 1
MBHKAFJI_00266	CDS	1371	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
MBHKAFJI_00267	CDS	1395	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
MBHKAFJI_00268	CDS	1479	wzxC		COG2244	Lipopolysaccharide biosynthesis protein WzxC
MBHKAFJI_00269	CDS	1281				hypothetical protein
MBHKAFJI_00270	CDS	1221	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
MBHKAFJI_00271	CDS	1395				hypothetical protein
MBHKAFJI_00272	CDS	894	galF	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
MBHKAFJI_00273	CDS	1359	bcs1			Bifunctional ribulose 5-phosphate reductase/CDP-ribitol pyrophosphorylase Bcs1
MBHKAFJI_00274	CDS	1221				hypothetical protein
MBHKAFJI_00275	CDS	819				hypothetical protein
MBHKAFJI_00276	CDS	1101				hypothetical protein
MBHKAFJI_00277	CDS	1110				hypothetical protein
MBHKAFJI_00278	CDS	1137				hypothetical protein
MBHKAFJI_00279	CDS	627	hisH_1	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
MBHKAFJI_00280	CDS	789	hisF_1	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
MBHKAFJI_00281	CDS	1035	capD	5.1.3.2	COG1086	UDP-glucose 4-epimerase
MBHKAFJI_00282	CDS	1104	wbjC	1.1.1.367		UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase
MBHKAFJI_00283	CDS	1131	wbpI	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
MBHKAFJI_00284	CDS	1212				hypothetical protein
MBHKAFJI_00285	CDS	399				hypothetical protein
MBHKAFJI_00286	CDS	1407	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
MBHKAFJI_00287	CDS	1167	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
MBHKAFJI_00288	CDS	978	wzzB		COG3765	Chain length determinant protein
MBHKAFJI_00289	CDS	612	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
MBHKAFJI_00290	CDS	777	hisF_2	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
MBHKAFJI_00291	CDS	738	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
MBHKAFJI_00292	CDS	591	hisH_2	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
MBHKAFJI_00293	CDS	1068	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
MBHKAFJI_00294	CDS	1071	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
MBHKAFJI_00295	CDS	1305	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
MBHKAFJI_00296	CDS	900	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
MBHKAFJI_00297	CDS	252	yefM		COG2161	Antitoxin YefM
MBHKAFJI_00298	CDS	255	yoeB	3.1.-.-	COG4115	Toxin YoeB
MBHKAFJI_00299	CDS	825	yeeZ		COG0451	Protein YeeZ
MBHKAFJI_00300	CDS	951	yhaJ_1			HTH-type transcriptional regulator YhaJ
MBHKAFJI_00301	CDS	1359	plaP		COG0531	Low-affinity putrescine importer PlaP
MBHKAFJI_00302	CDS	1005				hypothetical protein
MBHKAFJI_00303	CDS	228	yeeD		COG0425	Putative sulfur carrier protein YeeD
MBHKAFJI_00304	CDS	1428	sbcB	3.1.11.1	COG2925	Exodeoxyribonuclease I
MBHKAFJI_00305	CDS	1167	dacD	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacD
